,Models,Parameters,AUPRC,AUROC,F1 at 0.1,Precision at 0.1,Recall at 0.1,Accuracy at 0.1,F1 at 0.3,Precision at 0.3,Recall at 0.3,Accuracy at 0.3,F1 at 0.5,Precision at 0.5,Recall at 0.5,Accuracy at 0.5,F1 at 0.7,Precision at 0.7,Recall at 0.7,Accuracy at 0.7,F1 at 0.9,Precision at 0.9,Recall at 0.9,Accuracy at 0.9
0,RF,"{'max_depth': 1, 'min_samples_split': 2, 'max_features': 'sqrt', 'n_estimators': 1}",0.896709064965465,0.5987355469931782,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.8531827515400412,0.8868729989327642,0.8219584569732937,0.7684210526315789,0.0,0.0,0.0,0.1813765182186235
1,RF,"{'max_depth': 1, 'min_samples_split': 2, 'max_features': 'log2', 'n_estimators': 1}",0.9051662577876677,0.604105247308369,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.0,0.0,0.0,0.1813765182186235
2,RF,"{'max_depth': 1, 'min_samples_split': 5, 'max_features': 'sqrt', 'n_estimators': 1}",0.9089836139598039,0.6078123745381907,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.0,0.0,0.0,0.1813765182186235
3,RF,"{'max_depth': 1, 'min_samples_split': 10, 'max_features': 'sqrt', 'n_estimators': 1}",0.9144177076548937,0.6272916440703277,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9054494643688868,0.8556338028169014,0.9614243323442137,0.8356275303643724,0.9054494643688868,0.8556338028169014,0.9614243323442137,0.8356275303643724,0.0,0.0,0.0,0.1813765182186235
4,RF,"{'max_depth': 1, 'min_samples_split': 10, 'max_features': 'log2', 'n_estimators': 1}",0.9176139615951113,0.6376160328575401,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.6262886597938145,0.8983364140480592,0.4807121661721068,0.5303643724696356
5,RF,"{'max_depth': 1, 'min_samples_split': 5, 'max_features': 'log2', 'n_estimators': 1}",0.9217559290581279,0.6441660534852316,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.0,0.0,0.0,0.1813765182186235
6,RF,"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt', 'n_estimators': 1}",0.9250915459482826,0.7371889998979269,0.9084249084249084,0.8456947996589941,0.9812067260138477,0.8380566801619433,0.9087557603686636,0.8507333908541846,0.9752720079129574,0.8396761133603239,0.907451352634077,0.8722627737226277,0.9455984174085065,0.8421052631578947,0.8860000000000001,0.8958543983822043,0.8763600395647874,0.8153846153846154,0.7474985285462037,0.9229651162790697,0.6280909990108803,0.6526315789473685
7,RF,"{'max_depth': 5, 'min_samples_split': 5, 'max_features': 'log2', 'n_estimators': 1}",0.9254420240123938,0.7713593637015704,0.9069557362240289,0.8345802161263508,0.9930761622156281,0.8331983805668016,0.9073655671034795,0.8352745424292846,0.9930761622156281,0.8340080971659919,0.9088359046283309,0.8617021276595744,0.9614243323442137,0.8421052631578947,0.890303623898139,0.8816682832201745,0.8991097922848664,0.8186234817813766,0.672566371681416,0.9316987740805605,0.5262116716122651,0.5805668016194332
8,RF,"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 'log2', 'n_estimators': 1}",0.925568100007283,0.7517984062738884,0.9031365313653136,0.8461538461538461,0.9683481701285855,0.8299595141700404,0.9018518518518519,0.8476936466492603,0.963402571711177,0.8283400809716599,0.8953207911239749,0.8738229755178908,0.9179030662710188,0.8242914979757086,0.8778280542986425,0.8926380368098159,0.8635014836795252,0.8032388663967611,0.770193401592719,0.9062918340026773,0.6696340257171117,0.6728744939271255
9,RF,"{'max_depth': 10, 'min_samples_split': 10, 'max_features': 'sqrt', 'n_estimators': 1}",0.9268789883329346,0.7540978254271599,0.8963636363636364,0.8292682926829268,0.9752720079129574,0.8153846153846154,0.898470097357441,0.8455497382198953,0.9584569732937686,0.8226720647773279,0.8982092365692743,0.8577857785778578,0.9426310583580614,0.8251012145748988,0.8665977249224406,0.9079089924160346,0.8288822947576657,0.7910931174089069,0.7235576923076922,0.9218989280245024,0.5954500494559841,0.6275303643724697
10,RF,"{'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2', 'n_estimators': 1}",0.927204921067946,0.8061093798796845,0.9002671415850401,0.8186234817813766,1.0,0.8186234817813766,0.8995087092451988,0.8200325732899023,0.9960435212660732,0.8178137651821862,0.9067796610169492,0.8652291105121294,0.9525222551928784,0.8396761133603239,0.8910989557434112,0.896,0.8862512363996043,0.8226720647773279,0.6291693917593199,0.9285714285714286,0.47576656775469833,0.5408906882591094
